pair,pop1.id,pop2.id,fst,mean_bray.AMF,mean_bray.ITS,mean_bray.16S,km.diff
B1-B1,B1,B1,0,0,0.06369119040321505,0.19084538584684466,0
B1-B2,B1,B2,0.258282,0,0.07844381078801924,0.23048345886846525,31.2
B1-F1,B1,F1,0.543824,0,0.11383263934027661,0.24991575325564291,1.9
B1-F2,B1,F2,0.261133,0,0.08112889717019219,0.20062298523050967,2.3
B1-R1,B1,R1,0.601512,0,0.08500906458032848,0.3446394588935155,9.2
B1-R2,B1,R2,0.479374,0,0.07588186855156491,0.2009559413025842,24.2
B1-U1,B1,U1,0.402356,0,0.06154382779810592,0.18317954870143427,10.2
B1-U2,B1,U2,0.408897,0,0.0764931472780223,0.21076131856389885,11.9
B2-B1,B2,B1,0.258282,0,0.07844381078801924,0.23048345886846525,31.2
B2-B2,B2,B2,0,0,0.08095877299391417,0.20034980089413884,0
B2-F1,B2,F1,0.515139,0,0.11208944859159066,0.33199298945369665,30.2
B2-F2,B2,F2,0.265697,0,0.08099060688032476,0.28373791809320265,33.5
B2-R1,B2,R1,0.568833,0,0.09562055875472888,0.4490298526379878,40.3
B2-R2,B2,R2,0.428686,0,0.08565030221964401,0.27508852648956383,45.5
B2-U1,B2,U1,0.378396,0,0.07338451657540271,0.1985199307428795,37.9
B2-U2,B2,U2,0.383128,0,0.08279295812095867,0.22415004243677517,22.4
F1-B1,F1,B1,0.543824,0,0.11383263934027661,0.24991575325564291,1.9
F1-B2,F1,B2,0.515139,0,0.11208944859159066,0.33199298945369665,30.2
F1-F1,F1,F1,0,0,0.12575238292562624,0.18188136212764866,0
F1-F2,F1,F2,0.448256,0,0.10200315302343217,0.17099582551085551,3.9
F1-R1,F1,R1,0.598703,0,0.12579920113370088,0.23777352526182788,10.8
F1-R2,F1,R2,0.531914,0,0.11971891536970972,0.1757807538727427,3.8
F1-U1,F1,U1,0.459241,0,0.10533567081281234,0.25153065156765736,9.7
F1-U2,F1,U2,0.537825,0,0.10599340540689177,0.2625579203997795,11.9
F2-B1,F2,B1,0.261133,0,0.08112889717019219,0.20062298523050967,2.3
F2-B2,F2,B2,0.265697,0,0.08099060688032476,0.28373791809320265,33.5
F2-F1,F2,F1,0.448256,0,0.10200315302343217,0.17099582551085551,3.9
F2-F2,F2,F2,0,0,0.06453746226921647,0.12092468566491187,0
F2-R1,F2,R1,0.396295,0,0.09526827802672924,0.2295307545038308,7
F2-R2,F2,R2,0.301497,0,0.09048276716464065,0.13654690869275968,24
F2-U1,F2,U1,0.22885,0,0.06883508721669439,0.2031394889189067,9.6
F2-U2,F2,U2,0.387089,0,0.07280952314477272,0.21658269256782825,13.4
R1-B1,R1,B1,0.601512,0,0.08500906458032848,0.3446394588935155,9.2
R1-B2,R1,B2,0.568833,0,0.09562055875472888,0.4490298526379878,40.3
R1-F1,R1,F1,0.598703,0,0.12579920113370088,0.23777352526182788,10.8
R1-F2,R1,F2,0.396295,0,0.09526827802672924,0.2295307545038308,7
R1-R1,R1,R1,0,0,0.09922293783950577,0.1688159794408669,0
R1-R2,R1,R2,0.422658,0,0.09439594294743044,0.24351731114968508,25.1
R1-U1,R1,U1,0.419481,0,0.07985758824773306,0.37171178633035507,11.2
R1-U2,R1,U2,0.643139,0,0.0920207613098795,0.35707164576676753,19.3
R2-B1,R2,B1,0.479374,0,0.07588186855156491,0.2009559413025842,24.2
R2-B2,R2,B2,0.428686,0,0.08565030221964401,0.27508852648956383,45.5
R2-F1,R2,F1,0.531914,0,0.11971891536970972,0.1757807538727427,3.8
R2-F2,R2,F2,0.301497,0,0.09048276716464065,0.13654690869275968,24
R2-R1,R2,R1,0.422658,0,0.09439594294743044,0.24351731114968508,25.1
R2-R2,R2,R2,0,0,0.08031066324751547,0.12785521614568385,0
R2-U1,R2,U1,0.321251,0,0.07386699489707912,0.19893350158063802,14.6
R2-U2,R2,U2,0.521712,0,0.08784436726442195,0.2195621886854694,34.5
U1-B1,U1,B1,0.402356,0,0.06154382779810592,0.18317954870143427,10.2
U1-B2,U1,B2,0.378396,0,0.07338451657540271,0.1985199307428795,37.9
U1-F1,U1,F1,0.459241,0,0.10533567081281234,0.25153065156765736,9.7
U1-F2,U1,F2,0.22885,0,0.06883508721669439,0.2031394889189067,9.6
U1-R1,U1,R1,0.419481,0,0.07985758824773306,0.37171178633035507,11.2
U1-R2,U1,R2,0.321251,0,0.07386699489707912,0.19893350158063802,14.6
U1-U1,U1,U1,0,0,0.05016919377924734,0.13564356813073083,0
U1-U2,U1,U2,0.471687,0,0.06790935430175471,0.17763166422116175,21.7
U2-B1,U2,B1,0.408897,0,0.0764931472780223,0.21076131856389885,11.9
U2-B2,U2,B2,0.383128,0,0.08279295812095867,0.22415004243677517,22.4
U2-F1,U2,F1,0.537825,0,0.10599340540689177,0.2625579203997795,11.9
U2-F2,U2,F2,0.387089,0,0.07280952314477272,0.21658269256782825,13.4
U2-R1,U2,R1,0.643139,0,0.0920207613098795,0.35707164576676753,19.3
U2-R2,U2,R2,0.521712,0,0.08784436726442195,0.2195621886854694,34.5
U2-U1,U2,U1,0.471687,0,0.06790935430175471,0.17763166422116175,21.7
U2-U2,U2,U2,0,0,0.06774744367894385,0.196098950954932,0
