sampleID	Seq_ID	label	well	plate	sample_id	population_id	population	site	habitat	humidity	light	type	spp
D163	D163	163	67	2	G.5R	G	R2	Tvedora	rural	wet	exposed	root	Solanum_dulcamara
D164	D164	164	68	2	G.6R	G	R2	Tvedora	rural	wet	exposed	root	Solanum_dulcamara
D165	D165	165	69	2	G.7R	G	R2	Tvedora	rural	wet	exposed	root	Solanum_dulcamara
D166	D166	166	70	2	G.8R	G	R2	Tvedora	rural	wet	exposed	root	Solanum_dulcamara
D167	D167	167	71	2	G.9R	G	R2	Tvedora	rural	wet	exposed	root	Solanum_dulcamara
D169	D169	169	73	2	G.2XR	G	R2	Tvedora	rural	wet	exposed	root	Lysimachia_vulgaris
D171	D171	171	75	2	H.2R	H	U2	Malmo	urban	dry	exposed	root	Solanum_dulcamara
D172	D172	172	76	2	H.3R	H	U2	Malmo	urban	dry	exposed	root	Solanum_dulcamara
D173	D173	173	77	2	H.4R	H	U2	Malmo	urban	dry	exposed	root	Solanum_dulcamara
D174	D174	174	78	2	H.5R	H	U2	Malmo	urban	dry	exposed	root	Solanum_dulcamara
D175	D175	175	79	2	H.6R	H	U2	Malmo	urban	dry	exposed	root	Solanum_dulcamara
D176	D176	176	80	2	H.7R	H	U2	Malmo	urban	dry	exposed	root	Solanum_dulcamara
D177	D177	177	81	2	H.8R	H	U2	Malmo	urban	dry	exposed	root	Solanum_dulcamara
D178	D178	178	82	2	H.9R	H	U2	Malmo	urban	dry	exposed	root	Solanum_dulcamara
D179	D179	179	83	2	H.1XR	H	U2	Malmo	urban	dry	exposed	root	Artemisia_vulgaris
D180	D180	180	84	2	H.2XR	H	U2	Malmo	urban	dry	exposed	root	Artemisia_vulgaris
D181	D181	181	85	2	AS	A	F1	Alnarp_pond	forest	wet	partially_shaded	soil	NA
D182	D182	182	86	2	BS	B	F2	Habo_Ljung	forest	wet	partially_shaded	soil	NA
D183	D183	183	87	2	CS	C	U1	Lund	urban	dry	exposed	soil	NA
D184	D184	184	88	2	C2S	C	NA	Lund	urban	dry	exposed	soil	NA
D185	D185	185	89	2	DS	D	R1	Borgeby	rural	wet	exposed	soil	NA
D186	D186	186	90	2	ES	E	B2	Kampinge	beach	dry	exposed	soil	NA
D187	D187	187	91	2	FS	F	B1	Lomma_beach	beach	dry	exposed	soil	NA
D188	D188	188	92	2	GS	G	R2	Tvedora	rural	wet	exposed	soil	NA
D190	D190	190	94	2	CF	NA	NA	wooden_fork	NA	NA	NA	control	NA
D191	D191	191	95	2	CKK	NA	NA	My_250_extr_kit_blank	NA	NA	NA	control	NA
D192	D192	192	96	2	MC	NA	NA	Mock_community 	NA	NA	NA	control	NA
D193	D193	193	1	3	A.9R	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Solanum_dulcamara
D194	D194	194	2	3	A.10R	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Solanum_dulcamara
D195	D195	195	3	3	A.11R	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Solanum_dulcamara
D196	D196	196	4	3	A.12R	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Solanum_dulcamara
D197	D197	197	5	3	A.3XR	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Lycopus_europaeus
D198	D198	198	6	3	A.4XR	A	F1	Alnarp_pond	forest	wet	partially_shaded	root	Lycopus_europaeus
D199	D199	199	7	3	B.9R	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Solanum_dulcamara
D200	D200	200	8	3	B.10R	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Solanum_dulcamara
D201	D201	201	9	3	B.11R	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Solanum_dulcamara
D202	D202	202	10	3	B.12R	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Solanum_dulcamara
D203	D203	203	11	3	B.3XR	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Lycopus_europaeus
D204	D204	204	12	3	B.4XR	B	F2	Habo_Ljung	forest	wet	partially_shaded	root	Lycopus_europaeus
