sampleID	pop.group	pop.id	pop	habitat	humidity	light	type	spp
D179	H	U2	Malmö	urban	dry	exposed	root	Artemisia_vulgaris
D180	H	U2	Malmö	urban	dry	exposed	root	Artemisia_vulgaris
D193	A	F1	Alnarp_pond	forest	wet	partially shaded	root	Solanum_dulcamara
D194	A	F1	Alnarp_pond	forest	wet	partially shaded	root	Solanum_dulcamara
D195	A	F1	Alnarp_pond	forest	wet	partially shaded	root	Solanum_dulcamara
D196	A	F1	Alnarp_pond	forest	wet	partially shaded	root	Solanum_dulcamara
D197	A	F1	Alnarp_pond	forest	wet	partially shaded	root	Lycopus_europaeus
D198	A	F1	Alnarp_pond	forest	wet	partially shaded	root	Lycopus_europaeus
D199	B	F2	Habo_Ljung	forest	wet	partially shaded	root	Solanum_dulcamara
D200	B	F2	Habo_Ljung	forest	wet	partially shaded	root	Solanum_dulcamara
D201	B	F2	Habo_Ljung	forest	wet	partially shaded	root	Solanum_dulcamara
D202	B	F2	Habo_Ljung	forest	wet	partially shaded	root	Solanum_dulcamara
D203	B	F2	Habo_Ljung	forest	wet	partially shaded	root	Lycopus_europaeus
D204	B	F2	Habo_Ljung	forest	wet	partially shaded	root	Lycopus_europaeus
D205	C	U1	Lund	urban	dry	exposed	root	Solanum_dulcamara
D206	C	U1	Lund	urban	dry	exposed	root	Solanum_dulcamara
D207	C	U1	Lund	urban	dry	exposed	root	Solanum_dulcamara
D208	C	U1	Lund	urban	dry	exposed	root	Solanum_dulcamara
D209	C	U1	Lund	urban	dry	exposed	root	Artemisia_vulgaris
D210	C	U1	Lund	urban	dry	exposed	root	Artemisia_vulgaris
D211	D	R1	Borgeby	rural	wet	exposed	root	Solanum_dulcamara
D212	D	R1	Borgeby	rural	wet	exposed	root	Solanum_dulcamara
D213	D	R1	Borgeby	rural	wet	exposed	root	Solanum_dulcamara
D214	D	R1	Borgeby	rural	wet	exposed	root	Solanum_dulcamara
D215	D	R1	Borgeby	rural	wet	exposed	root	Lysimachia_vulgaris
D216	D	R1	Borgeby	rural	wet	exposed	root	Lysimachia_vulgaris
D217	E	B2	Kämpinge	beach	dry	exposed	root	Solanum_dulcamara
D218	E	B2	Kämpinge	beach	dry	exposed	root	Solanum_dulcamara
D219	E	B2	Kämpinge	beach	dry	exposed	root	Solanum_dulcamara
D220	E	B2	Kämpinge	beach	dry	exposed	root	Artemisia_vulgaris
D221	E	B2	Kämpinge	beach	dry	exposed	root	Artemisia_vulgaris
D222	F	B1	Lomma_beach	beach	dry	exposed	root	Solanum_dulcamara
D223	F	B1	Lomma_beach	beach	dry	exposed	root	Solanum_dulcamara
D224	F	B1	Lomma_beach	beach	dry	exposed	root	Solanum_dulcamara
D225	F	B1	Lomma_beach	beach	dry	exposed	root	Artemisia_vulgaris
D226	F	B1	Lomma_beach	beach	dry	exposed	root	Artemisia_vulgaris
D227	G	R2	Tvedöra	rural	wet	exposed	root	Solanum_dulcamara
D228	G	R2	Tvedöra	rural	wet	exposed	root	Solanum_dulcamara
D229	G	R2	Tvedöra	rural	wet	exposed	root	Solanum_dulcamara
D230	G	R2	Tvedöra	rural	wet	exposed	root	Lysimachia_vulgaris
D231	G	R2	Tvedöra	rural	wet	exposed	root	Lysimachia_vulgaris
D232	H	U2	Malmö	urban	dry	exposed	root	Solanum_dulcamara
D233	H	U2	Malmö	urban	dry	exposed	root	Artemisia_vulgaris
D234	H	U2	Malmö	urban	dry	exposed	root	Artemisia_vulgaris
